Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1704, val loss 4.1670
iter 0: loss 4.1702, time 1758.98ms, mfu -100.00%
iter 1: loss 4.1663, time 303.35ms, mfu -100.00%
iter 2: loss 4.1651, time 298.66ms, mfu -100.00%
iter 3: loss 4.1573, time 317.00ms, mfu -100.00%
iter 4: loss 4.1692, time 306.29ms, mfu -100.00%
iter 5: loss 4.1623, time 280.64ms, mfu 0.24%
iter 6: loss 4.1767, time 262.76ms, mfu 0.24%
iter 7: loss 4.1501, time 284.25ms, mfu 0.24%
iter 8: loss 4.1775, time 263.07ms, mfu 0.24%
iter 9: loss 4.1532, time 271.89ms, mfu 0.24%
iter 10: loss 4.1501, time 258.95ms, mfu 0.25%
iter 11: loss 4.1652, time 277.17ms, mfu 0.25%
iter 12: loss 4.1367, time 278.37ms, mfu 0.25%
iter 13: loss 4.1441, time 276.94ms, mfu 0.25%
iter 14: loss 4.1350, time 283.44ms, mfu 0.25%
iter 15: loss 4.1301, time 294.16ms, mfu 0.24%
iter 16: loss 4.1227, time 308.26ms, mfu 0.24%
iter 17: loss 4.1018, time 279.58ms, mfu 0.24%
iter 18: loss 4.1132, time 289.29ms, mfu 0.24%
iter 19: loss 4.0903, time 280.36ms, mfu 0.24%
iter 20: loss 4.0932, time 298.37ms, mfu 0.24%
iter 21: loss 4.0831, time 312.79ms, mfu 0.24%
iter 22: loss 4.0790, time 249.49ms, mfu 0.24%
iter 23: loss 4.0678, time 313.30ms, mfu 0.24%
iter 24: loss 4.0681, time 338.73ms, mfu 0.23%
iter 25: loss 4.0415, time 290.21ms, mfu 0.23%
iter 26: loss 4.0414, time 259.70ms, mfu 0.24%
iter 27: loss 4.0093, time 270.25ms, mfu 0.24%
iter 28: loss 4.0385, time 265.19ms, mfu 0.24%
iter 29: loss 4.0176, time 283.65ms, mfu 0.24%
iter 30: loss 4.0263, time 272.05ms, mfu 0.24%
iter 31: loss 3.9794, time 260.97ms, mfu 0.24%
iter 32: loss 3.9737, time 258.29ms, mfu 0.25%
iter 33: loss 3.9496, time 261.82ms, mfu 0.25%
iter 34: loss 3.9407, time 291.79ms, mfu 0.25%
iter 35: loss 3.9755, time 293.88ms, mfu 0.24%
iter 36: loss 3.9306, time 296.03ms, mfu 0.24%
iter 37: loss 3.9246, time 266.18ms, mfu 0.24%
iter 38: loss 3.9252, time 293.04ms, mfu 0.24%
iter 39: loss 3.8963, time 265.86ms, mfu 0.24%
iter 40: loss 3.9083, time 268.93ms, mfu 0.24%
iter 41: loss 3.9123, time 276.30ms, mfu 0.24%
iter 42: loss 3.8488, time 256.41ms, mfu 0.25%
iter 43: loss 3.8595, time 288.22ms, mfu 0.25%
iter 44: loss 3.8655, time 282.13ms, mfu 0.24%
iter 45: loss 3.8318, time 296.84ms, mfu 0.24%
iter 46: loss 3.8398, time 331.37ms, mfu 0.24%
iter 47: loss 3.8503, time 276.12ms, mfu 0.24%
iter 48: loss 3.7999, time 297.40ms, mfu 0.24%
iter 49: loss 3.8094, time 266.65ms, mfu 0.24%
iter 50: loss 3.7987, time 288.94ms, mfu 0.24%
iter 51: loss 3.7809, time 273.55ms, mfu 0.24%
iter 52: loss 3.7604, time 345.69ms, mfu 0.24%
iter 53: loss 3.7720, time 278.62ms, mfu 0.24%
iter 54: loss 3.7624, time 276.46ms, mfu 0.24%
iter 55: loss 3.7337, time 244.47ms, mfu 0.24%
iter 56: loss 3.7424, time 249.72ms, mfu 0.24%
iter 57: loss 3.7682, time 258.72ms, mfu 0.25%
iter 58: loss 3.7210, time 226.73ms, mfu 0.25%
iter 59: loss 3.7949, time 240.21ms, mfu 0.25%
iter 60: loss 3.7446, time 275.25ms, mfu 0.25%
