Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2853, val loss 4.2801
iter 0: loss 4.2877, time 1408.46ms, mfu -100.00%
iter 1: loss 4.2491, time 243.62ms, mfu -100.00%
iter 2: loss 4.2979, time 277.62ms, mfu -100.00%
iter 3: loss 4.2459, time 232.08ms, mfu -100.00%
iter 4: loss 4.2697, time 231.05ms, mfu -100.00%
iter 5: loss 4.2346, time 241.61ms, mfu 0.54%
iter 6: loss 4.2308, time 228.01ms, mfu 0.54%
iter 7: loss 4.2258, time 230.03ms, mfu 0.54%
iter 8: loss 4.2246, time 232.57ms, mfu 0.54%
iter 9: loss 4.1932, time 246.05ms, mfu 0.54%
iter 10: loss 4.1883, time 241.07ms, mfu 0.54%
iter 11: loss 4.1495, time 230.52ms, mfu 0.54%
iter 12: loss 4.1306, time 240.10ms, mfu 0.54%
iter 13: loss 4.1155, time 244.56ms, mfu 0.54%
iter 14: loss 4.0967, time 249.04ms, mfu 0.54%
iter 15: loss 4.0718, time 244.58ms, mfu 0.54%
iter 16: loss 4.0525, time 245.04ms, mfu 0.54%
iter 17: loss 4.0415, time 231.06ms, mfu 0.54%
iter 18: loss 3.9990, time 235.54ms, mfu 0.54%
iter 19: loss 3.9802, time 231.05ms, mfu 0.54%
iter 20: loss 3.9206, time 234.61ms, mfu 0.54%
iter 21: loss 3.8838, time 239.59ms, mfu 0.54%
iter 22: loss 3.8831, time 242.03ms, mfu 0.54%
iter 23: loss 3.7896, time 244.54ms, mfu 0.54%
iter 24: loss 3.8293, time 242.02ms, mfu 0.54%
iter 25: loss 3.7304, time 246.83ms, mfu 0.54%
iter 26: loss 3.7383, time 234.14ms, mfu 0.54%
iter 27: loss 3.7071, time 251.91ms, mfu 0.54%
iter 28: loss 3.7292, time 222.85ms, mfu 0.54%
iter 29: loss 3.7580, time 231.83ms, mfu 0.54%
iter 30: loss 3.6258, time 224.65ms, mfu 0.55%
iter 31: loss 3.6018, time 224.57ms, mfu 0.55%
iter 32: loss 3.5962, time 223.09ms, mfu 0.55%
iter 33: loss 3.6696, time 239.07ms, mfu 0.55%
iter 34: loss 3.5381, time 238.05ms, mfu 0.55%
iter 35: loss 3.5241, time 237.37ms, mfu 0.55%
iter 36: loss 3.4850, time 240.89ms, mfu 0.55%
iter 37: loss 3.4821, time 253.88ms, mfu 0.55%
iter 38: loss 3.5473, time 255.54ms, mfu 0.54%
iter 39: loss 3.4820, time 252.77ms, mfu 0.54%
iter 40: loss 3.4767, time 242.63ms, mfu 0.54%
iter 41: loss 3.5269, time 246.07ms, mfu 0.54%
iter 42: loss 3.4288, time 243.72ms, mfu 0.54%
iter 43: loss 3.4579, time 263.85ms, mfu 0.53%
iter 44: loss 3.4174, time 234.75ms, mfu 0.54%
iter 45: loss 3.4533, time 247.73ms, mfu 0.53%
iter 46: loss 3.4124, time 269.83ms, mfu 0.53%
iter 47: loss 3.3759, time 260.29ms, mfu 0.53%
iter 48: loss 3.3786, time 281.70ms, mfu 0.52%
iter 49: loss 3.4167, time 313.11ms, mfu 0.51%
iter 50: loss 3.4660, time 267.25ms, mfu 0.51%
iter 51: loss 3.3121, time 311.02ms, mfu 0.50%
iter 52: loss 3.3612, time 252.07ms, mfu 0.50%
iter 53: loss 3.4203, time 243.99ms, mfu 0.50%
iter 54: loss 3.4413, time 245.93ms, mfu 0.51%
iter 55: loss 3.3083, time 246.34ms, mfu 0.51%
iter 56: loss 3.3397, time 240.65ms, mfu 0.51%
iter 57: loss 3.2859, time 241.61ms, mfu 0.51%
iter 58: loss 3.3445, time 231.27ms, mfu 0.52%
iter 59: loss 3.4346, time 236.10ms, mfu 0.52%
iter 60: loss 3.3226, time 240.33ms, mfu 0.52%
iter 61: loss 3.2317, time 259.03ms, mfu 0.52%
iter 62: loss 3.2439, time 248.37ms, mfu 0.52%
iter 63: loss 3.2954, time 256.76ms, mfu 0.52%
iter 64: loss 3.2278, time 245.07ms, mfu 0.52%
iter 65: loss 3.2030, time 243.46ms, mfu 0.52%
iter 66: loss 3.1605, time 253.40ms, mfu 0.52%
iter 67: loss 3.2262, time 242.53ms, mfu 0.52%
iter 68: loss 3.1306, time 247.44ms, mfu 0.52%
iter 69: loss 3.2096, time 248.04ms, mfu 0.52%
iter 70: loss 3.2256, time 233.62ms, mfu 0.53%
iter 71: loss 3.1796, time 236.28ms, mfu 0.53%
iter 72: loss 3.1946, time 232.63ms, mfu 0.53%
iter 73: loss 3.1250, time 249.08ms, mfu 0.53%
iter 74: loss 3.1392, time 237.73ms, mfu 0.53%
iter 75: loss 3.1099, time 251.22ms, mfu 0.53%
iter 76: loss 3.0022, time 232.53ms, mfu 0.53%
iter 77: loss 3.1224, time 223.35ms, mfu 0.54%
iter 78: loss 3.0261, time 241.99ms, mfu 0.54%
iter 79: loss 3.0559, time 246.60ms, mfu 0.54%
iter 80: loss 3.1842, time 232.03ms, mfu 0.54%
iter 81: loss 3.0458, time 235.03ms, mfu 0.54%
iter 82: loss 3.0241, time 235.55ms, mfu 0.54%
iter 83: loss 3.0945, time 242.03ms, mfu 0.54%
iter 84: loss 3.0593, time 247.55ms, mfu 0.54%
iter 85: loss 3.0039, time 252.04ms, mfu 0.54%
iter 86: loss 3.0276, time 243.04ms, mfu 0.54%
iter 87: loss 3.0711, time 238.56ms, mfu 0.54%
iter 88: loss 3.0008, time 288.00ms, mfu 0.53%
iter 89: loss 3.0082, time 244.02ms, mfu 0.53%
iter 90: loss 2.9714, time 232.81ms, mfu 0.53%
iter 91: loss 2.9064, time 226.53ms, mfu 0.54%
iter 92: loss 2.8758, time 238.37ms, mfu 0.54%
iter 93: loss 2.9191, time 229.13ms, mfu 0.54%
iter 94: loss 2.9296, time 252.42ms, mfu 0.54%
iter 95: loss 2.9117, time 240.12ms, mfu 0.54%
iter 96: loss 2.9664, time 240.16ms, mfu 0.54%
iter 97: loss 2.9401, time 251.92ms, mfu 0.54%
iter 98: loss 2.9189, time 227.30ms, mfu 0.54%
iter 99: loss 2.9471, time 254.69ms, mfu 0.54%
iter 100: loss 2.9059, time 323.63ms, mfu 0.52%
iter 101: loss 2.9834, time 222.67ms, mfu 0.53%
iter 102: loss 2.8568, time 231.27ms, mfu 0.53%
iter 103: loss 2.8951, time 229.27ms, mfu 0.54%
iter 104: loss 2.8529, time 230.94ms, mfu 0.54%
iter 105: loss 2.8642, time 232.68ms, mfu 0.54%
iter 106: loss 2.8430, time 232.51ms, mfu 0.54%
iter 107: loss 2.9095, time 237.29ms, mfu 0.54%
iter 108: loss 2.8265, time 242.85ms, mfu 0.54%
iter 109: loss 2.7913, time 236.57ms, mfu 0.54%
iter 110: loss 2.8023, time 233.71ms, mfu 0.54%
iter 111: loss 2.8704, time 232.23ms, mfu 0.55%
iter 112: loss 2.8357, time 238.11ms, mfu 0.55%
iter 113: loss 2.8001, time 232.93ms, mfu 0.55%
iter 114: loss 2.8346, time 247.27ms, mfu 0.54%
iter 115: loss 2.7515, time 227.12ms, mfu 0.55%
iter 116: loss 2.8182, time 268.51ms, mfu 0.54%
iter 117: loss 2.7795, time 250.29ms, mfu 0.54%
iter 118: loss 2.6666, time 243.81ms, mfu 0.54%
iter 119: loss 2.8087, time 230.16ms, mfu 0.54%
iter 120: loss 2.8311, time 227.49ms, mfu 0.54%
iter 121: loss 2.7418, time 290.77ms, mfu 0.53%
iter 122: loss 2.7375, time 227.98ms, mfu 0.54%
iter 123: loss 2.7159, time 221.63ms, mfu 0.54%
iter 124: loss 2.7990, time 240.41ms, mfu 0.54%
iter 125: loss 2.7814, time 244.22ms, mfu 0.54%
iter 126: loss 2.8205, time 222.45ms, mfu 0.55%
iter 127: loss 2.8039, time 225.96ms, mfu 0.55%
iter 128: loss 2.7693, time 234.12ms, mfu 0.55%
iter 129: loss 2.7711, time 239.14ms, mfu 0.55%
iter 130: loss 2.8178, time 244.59ms, mfu 0.55%
iter 131: loss 2.8172, time 228.26ms, mfu 0.55%
iter 132: loss 2.7671, time 232.57ms, mfu 0.55%
iter 133: loss 2.6946, time 231.54ms, mfu 0.55%
iter 134: loss 2.7563, time 222.32ms, mfu 0.55%
iter 135: loss 2.7495, time 240.52ms, mfu 0.55%
iter 136: loss 2.7430, time 242.83ms, mfu 0.55%
iter 137: loss 2.6813, time 237.62ms, mfu 0.55%
iter 138: loss 2.7767, time 224.76ms, mfu 0.55%
iter 139: loss 2.7359, time 235.71ms, mfu 0.55%
iter 140: loss 2.6769, time 238.89ms, mfu 0.55%
iter 141: loss 2.7070, time 237.17ms, mfu 0.55%
iter 142: loss 2.7754, time 257.41ms, mfu 0.55%
iter 143: loss 2.6813, time 225.59ms, mfu 0.55%
iter 144: loss 2.6465, time 220.77ms, mfu 0.55%
iter 145: loss 2.7938, time 235.09ms, mfu 0.55%
iter 146: loss 2.7312, time 241.85ms, mfu 0.55%
iter 147: loss 2.7600, time 223.30ms, mfu 0.55%
