run_name,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,best_val_loss,exit_code,seconds
_header_written_only_once_
b64_l4_h4_e128_bs8_it1000_do01,64,4,4,128,8,1000,0.1,1.9848,0,269.14
b64_l4_h4_e128_bs8_it1000_do02,64,4,4,128,8,1000,0.2,2.0698,0,564.19
b64_l4_h4_e128_bs8_it2000_do01,64,4,4,128,8,2000,0.1,1.6951,0,1150.58
b64_l4_h4_e128_bs8_it2000_do02,64,4,4,128,8,2000,0.2,1.789,0,1722.51
b64_l4_h4_e128_bs16_it1000_do01,64,4,4,128,16,1000,0.1,1.9387,0,2022.29
b64_l4_h4_e128_bs16_it1000_do02,64,4,4,128,16,1000,0.2,2.0067,0,2331.26
b64_l4_h4_e128_bs16_it2000_do01,64,4,4,128,16,2000,0.1,1.6562,0,2951.81
b64_l4_h4_e128_bs16_it2000_do02,64,4,4,128,16,2000,0.2,1.7393,0,3460.44
b64_l4_h4_e256_bs8_it1000_do01,64,4,4,256,8,1000,0.1,1.7369,0,3714.79
b64_l4_h4_e256_bs8_it1000_do02,64,4,4,256,8,1000,0.2,1.8309,0,3968.72
b64_l4_h4_e256_bs8_it2000_do01,64,4,4,256,8,2000,0.1,1.5355,0,4468.57
b64_l4_h4_e256_bs8_it2000_do02,64,4,4,256,8,2000,0.2,1.575,0,4959.73
b64_l4_h4_e256_bs16_it1000_do01,64,4,4,256,16,1000,0.1,1.6534,0,5208.28
b64_l4_h4_e256_bs16_it1000_do02,64,4,4,256,16,1000,0.2,1.7409,0,5464.32
b64_l4_h4_e256_bs16_it2000_do01,64,4,4,256,16,2000,0.1,1.506,0,5964.39
b64_l4_h4_e256_bs16_it2000_do02,64,4,4,256,16,2000,0.2,1.5409,0,6449.97
b64_l4_h8_e128_bs8_it1000_do01,64,4,8,128,8,1000,0.1,1.9878,0,6692.71
b64_l4_h8_e128_bs8_it1000_do02,64,4,8,128,8,1000,0.2,2.0694,0,6927.66
b64_l4_h8_e128_bs8_it2000_do01,64,4,8,128,8,2000,0.1,1.6953,0,7405.02
b64_l4_h8_e128_bs8_it2000_do02,64,4,8,128,8,2000,0.2,1.7723,0,7880.19
b64_l4_h8_e128_bs16_it1000_do01,64,4,8,128,16,1000,0.1,1.9362,0,8128.13
b64_l4_h8_e128_bs16_it1000_do02,64,4,8,128,16,1000,0.2,2.0078,0,8372.36
b64_l4_h8_e128_bs16_it2000_do01,64,4,8,128,16,2000,0.1,1.6558,0,8869.06
b64_l4_h8_e128_bs16_it2000_do02,64,4,8,128,16,2000,0.2,1.7306,0,9359.07
b64_l4_h8_e256_bs8_it1000_do01,64,4,8,256,8,1000,0.1,1.7519,0,9603.46
b64_l4_h8_e256_bs8_it1000_do02,64,4,8,256,8,1000,0.2,1.8454,0,9837.84
b64_l4_h8_e256_bs8_it2000_do01,64,4,8,256,8,2000,0.1,1.5517,0,10322.39
b64_l4_h8_e256_bs8_it2000_do02,64,4,8,256,8,2000,0.2,1.585,0,10798.90
b64_l4_h8_e256_bs16_it1000_do01,64,4,8,256,16,1000,0.1,1.6749,0,11049.37
b64_l4_h8_e256_bs16_it1000_do02,64,4,8,256,16,1000,0.2,1.7585,0,11288.32
b64_l4_h8_e256_bs16_it2000_do01,64,4,8,256,16,2000,0.1,1.5196,0,11785.55
b64_l4_h8_e256_bs16_it2000_do02,64,4,8,256,16,2000,0.2,1.5522,0,12272.07
_header_written_only_once_
